№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
261,,Долинск,Сахалинская область,Дальневосточный,12200,1884,1946,Галкино-Врасское  (до 1905); Отиай  (до 1946)
262,,Домодедово,Московская область,Центральный,96123,1900,1947,Никитск
263,,Донецк,Ростовская область,Южный,50085,1681,1951,Гундоровская  (до 1951); Гундоровка  (до 1955)
264,,Донской,Тульская область,Центральный,64561,1773,1939,Ходырев ; посёлок при руднике имени А. И. Рыкова  (до 1929)
265,,Дорогобуж,Смоленская область,Центральный,10720,1150,XIII век,
266,,Дрезна,Московская область,Центральный,11815,1897,1940,
267,,Дубна,Московская область,Центральный,70569,1956,1956,Иваньково
268,,Дубовка,Волгоградская область,Южный,14345,1732,1803,
269,,Дудинка,Красноярский край,Сибирский,22207,1667,1951,
270,,Духовщина,Смоленская область,Центральный,4370,1675,1777,
271,,Дюртюли,Башкортостан,Приволжский,31272,1795,1989,
272,,Дятьково,Брянская область,Центральный,29438,1626,1938,
273,,Евпатория Оспаривается,Крым,Южный,105719,497 год до н. э.,1784,"Керкинитида ,  Гезлёв"
274,,Егорьевск,Московская область,Центральный,70133,1462,1778,
275,,Ейск,Краснодарский край,Южный,87771,1848,1848,
276,,Екатеринбург,Свердловская область,Уральский,1377738,1723,1781,Свердловск  (с 1924 до 1991)
277,,Елабуга,Татарстан,Приволжский,70750,XI век,1780,Трёхсвятское
278,,Елец,Липецкая область,Центральный,108404,1146,1778,
279,,Елизово,Камчатский край,Дальневосточный,39548,1848,1975,Старый Острог  (до 1879); Завойко  (до 1924)
280,,Ельня,Смоленская область,Центральный,10095,1150,1776,
281,,Еманжелинск,Челябинская область,Уральский,30218,1931,1951,Еманжелинские угольные копи  (до 1951)
282,,Емва,Коми,Северо-Западный,14574,1941,1985,Княж-Погост ; Железнодорожный  (до 1985)
283,,Енисейск,Красноярский край,Сибирский,18769,1619,1676,"Тунгусский острог ,  Енисейский острог"
284,,Ермолино,Калужская область,Центральный,10409,1601,2008,
285,,Ершов,Саратовская область,Приволжский,21447,1893,1963,
286,,Ессентуки,Ставропольский край,Северо-Кавказский,100969,1825,1917,Ессентукская
287,,Ефремов,Тульская область,Центральный,42350,1637,1777,
288,,Железноводск,Ставропольский край,Северо-Кавказский,24496,1810,1917,
289,,Железногорск,Красноярский край,Сибирский,85559,1950,1954,Почтовый ящик №9  (до 1956); Красноярск-26  (до 1994)
290,,Железногорск,Курская область,Центральный,95057,1957,1962,Октябрьский  (до 1958)
291,,Железногорск-Илимский,Иркутская область,Сибирский,26134,1948,1965,Коршуниха  (до 1958); Железногорск  (до 1965)
292,,Жердевка,Тамбовская область,Центральный,15211,1745,1954,Чибизовка  (до 1954)
293,,Жигулёвск,Самарская область,Приволжский,57565,1949,1952,
294,,Жиздра,Калужская область,Центральный,5585,1146,1777,
295,,Жирновск,Волгоградская область,Южный,16890,XVIII век,1958,Жирное  (до 1954); Жирновский  (до 1958)
296,,Жуков,Калужская область,Центральный,12150,XVII век,1996,Угодский Завод  (до 1974); Жуково  (до 1996)
297,,Жуковка,Брянская область,Центральный,18269,1871,1962,
298,,Жуковский,Московская область,Центральный,102729,1935,1947,Стаханово  (до 1947)
299,,Завитинск,Амурская область,Дальневосточный,11481,1906,1954,Завитая  (до 1954)
300,,Заводоуковск,Тюменская область,Уральский,25657,1729,1960,Уковская  (до 1787); Заводоуковское  (до 1939)
301,,Заволжск,Ивановская область,Центральный,12045,XIX век,1954,Владычное  (до 1934); Заволжье  (до 1954)
302,,Заволжье,Нижегородская область,Приволжский,40265,1947,1964,Пестово
303,,Задонск,Липецкая область,Центральный,9695,1615,1779,
304,,Заинск,Татарстан,Приволжский,41798,1656,1978,
305,,Закаменск,Бурятия,Сибирский,11249,1934,1944,Джидастрой  (до 1944); Городок  (до 1959)
306,,Заозёрный,Красноярский край,Сибирский,10683,1776,1948,"Троицкоозёрское ,  Троицко-Заозёрное"
307,,Заозёрск,Мурманская область,Северо-Западный,11206,1958,1958,Заозёрный  (до 1981); Североморск-7  (до 1994); Мурманск-150  (до 1994); Западная Лица  (до 1994)
308,,Западная Двина,Тверская область,Центральный,9376,1900,1937,
309,,Заполярный,Мурманская область,Северо-Западный,15835,1956,1963,
310,,Зарайск,Московская область,Центральный,24648,1146,1778,
311,,Заречный,Пензенская область,Приволжский,63579,1958,1958,Пенза-19  (до 1992)
312,,Заречный,Свердловская область,Уральский,26803,1955,1992,
313,,Заринск,Алтайский край,Сибирский,47035,1748,1979,"Заринский ,  Сорокино"
314,,Звенигово,Марий Эл,Приволжский,11945,1860,1974,"Чекуры ,  Звенижский"
315,,Звенигород,Московская область,Центральный,16395,1152,1781,
316,,Зверево,Ростовская область,Южный,22416,1819,1989,
317,,Зеленогорск,Красноярский край,Сибирский,66018,1956,1956,"Усть-Барга ,  Заозёрный-13 ,  Красноярск-45"
318,,Зеленоградск,Калининградская область,Северо-Западный,13015,1252,1947,Кранц  (до 1946)
319,,Зеленодольск,Татарстан,Приволжский,97651,1865,1932,Кабачищи  (до 1897); Паратск  (до 1928); Зелёный Дол  (до 1932)
320,,Зеленокумск,Ставропольский край,Северо-Кавказский,35790,1781,1965,Воронцово-Александровское  (до 1963); Советское  (до 1965)
321,,Зерноград,Ростовская область,Южный,26850,1929,1951,Зерновой  (до 1960)
322,,Зея,Амурская область,Дальневосточный,25042,1879,1907,Зейский Склад  (до 1906); Зея-Пристань  (до 1913)
323,,Зима,Иркутская область,Сибирский,32522,1743,1922,"Мироново ,  Зиминское"
